Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
2,,OSHW-LOGOS-COPPER,LOGO1,OSHW-LOGOS-COPPER,OSHW-LOGO-S_COPPER,1, ,
3,,SFE_LOGO_FLAME.1COP,LOGO2,SFE_LOGO_FLAME.1COP,SFE_LOGO_FLAME_COPPER_.1,1, ,
4,,SWITCH-MOMENTARY-2PTH_REED2,S1,SWITCH-MOMENTARY-2PTH_REED2,REED_SWITCH_PLASTIC,1, ,
5,,SEWTAP8,SLIDEOFF0 SLIDEON0,SEWTAP8,PETAL-MEDIUM-2SIDE,2, ,
6,,LOGO-LPLP,U$1,LOGO-LPLP,LOGO-LILYPAD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
