Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"3-Axis MEMS Accelerometer, 2/4/8/16g range, I2C/SPI, LGA-14",ADXL343,U1,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,1
Component Count:,1 (1 SMD/ 0 THT)
Fitted Components:,1 (1 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,1
