"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP5,JP8,JP7,JP15,JP6";"1X04";5;"";;;
2;"JP9";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
3;"R1,R3,R2";"1_6W-RES";3;"330";;;
4;"JP1,JP3,JP4,JP2";"1X01";4;"M01PTH";;;
5;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
6;"R5,R4";"RPACK-SIP-PTH-5";2;"330";;;
7;"D1";"LED_BARGAPH_10";1;"";;;
8;"JP14";"1X10";1;"M10"";;;
9;"S1";"TACTILE-PTH";1;"SWITCH-MOMENTARY-2PTH";;;
10;"JP11";"1X06";1;"";;;
11;"JP12,JP13";"1X08";2;"";;;
12;"SG1";"BUZZER-12MM";1;"BUZZERPTH";;;
