Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Light emitting diode,LED,D1 D2 D3 D4,LED,LED_D3.0mm,4, ,~
2,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06_Male,J1,Conn_01x04_Male,PinHeader_1x06_P2.54mm_Vertical,1, ,~
3,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Male,J3 J4,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,2, ,~
4,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05_Male,J2,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical,1, ,~
5,"RJ connector, 8P8C (8 positions 8 connected)",RJ45,J5 J6,Gate_In,RJ45_Amphenol_RJHSE-3080,2, ,~
6,Potentiometer,R_Potentiometer,RV1,AttackPot,Alpha_9mm_Potentiometer_Aligned,1, ,~
7,Potentiometer,R_Potentiometer,RV2,DecayPot,Alpha_9mm_Potentiometer_Aligned,1, ,~
8,Potentiometer,R_Potentiometer,RV4,ReleasePot,Alpha_9mm_Potentiometer_Aligned,1, ,~
9,Potentiometer,R_Potentiometer,RV3,SustainPot,Alpha_9mm_Potentiometer_Aligned,1, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,1.0
Date:,2023-03-10
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,9
Component Count:,14 (0 SMD/ 0 THT)
Fitted Components:,14 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,14
