Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Mounting Hole without connection,mhm3_872f01_electronic_mounting_hole_m3,H10 H11 H12 H13 H14 H15 H16,mhm3_872f01_electronic_mounting_hole_m3,mhm3_872f01_electronic_mounting_hole_m3,7, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_mounting_hole_m3/datasheet.pdf
2,Mounting Hole without connection,mhm6_fbea65_electronic_mounting_hole_m6,H1 H2 H3 H4 H5,mhm6_fbea65_electronic_mounting_hole_m6,mhm6_fbea65_electronic_mounting_hole_m6,5, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_mounting_hole_m6/datasheet.pdf
3,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",h4psmra_adfe77_electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle,J3,h4psmra_adfe77_electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle,h4psmra_adfe77_electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle,1, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle/datasheet.pdf
4,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",hi14p_abf4a4_electronic_header_2d54_mm_4_pin,J2,hi14p_abf4a4_electronic_header_2d54_mm_4_pin,hi14p_abf4a4_electronic_header_2d54_mm_4_pin,1, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_header_2d54_mm_4_pin/datasheet.pdf
5,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",hi14psmra_70c043_electronic_header_2d54_mm_4_pin_surface_mount_right_angle,J1,hi14psmra_70c043_electronic_header_2d54_mm_4_pin_surface_mount_right_angle,hi14psmra_70c043_electronic_header_2d54_mm_4_pin_surface_mount_right_angle,1, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_header_2d54_mm_4_pin_surface_mount_right_angle/datasheet.pdf
6,Light emitting diode,l5_7297cd_electronic_led_5_mm,L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30 L31 L32 L33 L34 L35 L36 L37 L38 L39 L40 L41 L42 L43 L44 L45 L46 L47 L48 L49 L50 L51 L52 L53 L54 L55 L56 L57 L58 L59 L60 L61 L62 L63 L64 L65 L66 L67 L68 L69 L70 L71 L72 L73 L74 L75 L76 L77 L78 L79 L80 L81 L82 L83 L84 L85 L86 L87 L88 L89 L90,l5_electronic_led_5_mm,l5_7297cd_electronic_led_5_mm,90, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_led_5_mm/datasheet.pdf
7,"Generic connector, single row, 01x28, script generated (kicad-library-utils/schlib/autogen/connector/)",iaip1640_fe0f02_electronic_ic_soic_28_wide_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,U1,iaip1640_electronic_ic_soic_28_wide_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,iaip1640_fe0f02_electronic_ic_soic_28_wide_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,1, ,https://github.com/oomlout/oomlout_oomp_v3/parts/electronic_ic_soic_28_wide_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640/datasheet.pdf





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,106 (3 SMD/ 91 THT)
Fitted Components:,106 (3 SMD/ 91 THT)
Number of PCBs:,1
Total Components:,106
