"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U11";"SOT23-5";2;"MIC5219 3.3V";;;
2;"SFE-LOGO2,SFE-LOGO1";"SFE-NEW-WEBLOGO";2;"LOGO-SFENEW";;;
3;"JP12,JP10,JP24,JP11,JP9,JP23,JP8,JP25,JP21,JP22,JP26,JP13";"2X3_SMT_POSTS";12;"";;;
4;"STANDOFF1,STANDOFF4,STANDOFF7,STANDOFF3,STANDOFF5,STANDOFF2,STANDOFF8,STANDOFF6";"STAND-OFF";8;"STAND-OFF";;;
5;"JP5,JP27";"2X3";2;"AVR_SPI_PRG_6PTH";;;
6;"U8,U5";"SSOP28DB";2;"FT232RLSSOP";;;
7;"Q2,Q1";"MSOP8";2;"";;;
8;"D5,D11,D3,D6,D4,D9,D12,D10";"LED-0603";8;"GREEN";;;
9;"R13,R25,R10,R1,R12,R11,R9,R24,R21,R14,R26,R22";"0603-RES";12;"10k";;;
10;"R17,R3,R5,R18,R7,R20,R6,R4,R8,R16,R19,R23,R2,R15";"0603-RES";14;"1k";;;
11;"U12,U6";"SOT353";2;"7408SE";;;
12;"U$21";"FOUR_LAYER_WARNING";1;"FOUR_LAYER_WARNING";;;
13;"JP14,JP15,JP16,JP31,JP30,JP32";"1X02";6;"";;;
14;"MOD1,MOD2";"XBEE-SMD";2;"XBEE-1B3";;;
15;"C10,C3,C6,C7,C12,C14,C2,C4,C11,C5,C13,C1";"0603-CAP";12;"0.1uF";;;
16;"S4,S8";"TACTILE_SWITCH_SMD";2;"";;;
17;"FID1,FID4,FID3,FID2";"MICRO-FIDUCIAL";4;"FIDUCIALUFIDUCIAL";;;
18;"U10,U3";"SOT23-5";2;"MIC5219 5V";;;
19;"JP19,JP1,JP20,JP2";"1X03_SMD_RA_FEMALE";4;"1x3 RA Female .1"";;;
20;"U$17,U$1";"OSHW-LOGO-S";2;"OSHW-LOGOS";;;
21;"JP7,JP29,JP28,JP6";"2X5_NOSILK";4;"M05X2NO_SILK";;;
22;"Y1,Y2";"RESONATOR-SMD";2;"16MHz";;;
23;"C15,C8,C9,C16";"EIA3216";4;"10uF";;;
24;"D2,D8,D1,D7";"SMA-DIODE";4;"";;;
25;"JP18,JP4";"USB-MINIB";2;"USB-B";;;
26;"JP3,JP17";"POWER_JACK_SMD";2;"5.5x2.1mm Barrel";;;
27;"S2,S6,S5,S3,S1,S7";"AYZ0202";6;"DPDT";;;
28;"U7,U1";"TQFP32-08";2;"ATMEGA328P";;;
29;"U2,U9";"SSOP24";2;"TB6612FNG";;;
