Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,LOGO-SFENEW,JP5,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,
2,,M11PTH,JP1,M11PTH,1X11,1, ,
3,,STAND-OFF,JP2 JP3,STAND-OFF,STAND-OFF,2, ,
4,,LMD1820X,U$1,LMD1820X,TO-220-11LEAD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-05
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,5 (0 SMD/ 0 THT)
Fitted Components:,5 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,5
