Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC_0805,C1,0.1µF,_0805,1, ,
2,,LEDEV45-21,LED1,45-21/LK2C-B38452C4CB2/2T,EVERLIGHT_45-21,1, ,
3,,MOSFET-NWIDE,Q3,BSS138,SOT23-WIDE,1, ,
4,,RESISTOR_0805,R1 R2 R6,10K,_0805,3, ,
5,,LIGHT_TCS3472,U1,TCS34725,TCS3472_FN6,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
