Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,C_Small-Device,C1,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,~
2,,Screw_Terminal_01x06-Connector,J1,Screw_Terminal_01x06,PinHeader_1x06_P2.54mm_Vertical,1, ,~
3,,R_Small-Device,R1 R2,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2, ,~
4,,R_Small-Device,R4,10K,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,~
5,,R_Small-Device,R3,100K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1, ,~
6,,DPS310-electroniccats,U1,DPS310,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,1.0
Date:,2020-01-10
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,7 (6 SMD/ 1 THT)
Fitted Components:,7 (6 SMD/ 1 THT)
Number of PCBs:,1
Total Components:,7
