Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,SEWTAP8,BUTTON-0 BUTTONS0,SEWTAP8,PETAL-MEDIUM-2SIDE,2, ,
2,,LOGO-LPL,LOGO1,LOGO-LPL,LOGO-L,1, ,
3,,TAC_SWITCHSMD,S1,TAC_SWITCHSMD,TACTILE_SWITCH_SMD,1, ,
4,,CREATIVE_COMMONS,U$1,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,5 (0 SMD/ 0 THT)
Fitted Components:,5 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,5
