Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,1, ,~
2,"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x02_Odd_Even,J1,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,1, ,~
3,Pot,ALPS_RK09D,RV1,ALPS_RK09D,ALPS_RK09D117000B,1, ,https://akizukidenshi.com/catalog/g/gP-14827/





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-40
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,3 (0 SMD/ 3 THT)
Fitted Components:,3 (0 SMD/ 3 THT)
Number of PCBs:,1
Total Components:,3
