Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C8,0.1uF,,1, ,~
2,"Unpolarized capacitor, small symbol",C_Small,C1 C4 C5 C6 C7,10uF,,5, ,~
3,"Unpolarized capacitor, small symbol",C_Small,C?,C_Small,,1, ,~
4,Light emitting diode,LED,D1,DONE,LED_0805_2012Metric,1, ,~
5,Light emitting diode,LED,D?,LED,LED_0805_2012Metric,1, ,~
6,"20V, 1A, 340 mV, Schottky Diode Rectifier, SOD-123F",MBR1020VL,D5,MBR120,D_SOD-123F,1, ,https://www.onsemi.com/pub/Collateral/MBR1020VL-D.PDF
7,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J4,Conn_Battery,,1, ,~
8,USB 2.0-only Type-C Plug connector,USB_C_Plug_USB2.0,P?,USB_C_Plug_USB2.0,,1, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
9,"P-MOSFET transistor, source/gate/drain",Q_PMOS_SGD,Q1,DMG3415U-7,,1, ,~
10,"Resistor, small symbol",R_Small,R5,1K,,1, ,~
11,"Resistor, small symbol",R_Small,R3,2K,,1, ,~
12,"Resistor, small symbol",R_Small,R1 R2,5.1K,,2, ,~
13,"Resistor, small symbol",R_Small,R10,10K,,1, ,~
14,"Resistor, small symbol",R_Small,R?,R_Small,,1, ,~
15,"Push button switch, generic, two pins",SW_Push,SW3,GPIO0,,1, ,~
16,MEC 5G single pole normally-open tactile switch,SW_MEC_5G,SW1,Magspoof,,1, ,http://www.apem.com/int/index.php?controller=attachment&id_attachment=488
17,MEC 5G single pole normally-open tactile switch,SW_MEC_5G,SW2,NFC,,1, ,http://www.apem.com/int/index.php?controller=attachment&id_attachment=488
18,"Single Pole Single Throw (SPST) switch, separate symbol",SW_DPST_x2,SW5A,ON/OFF,,1, ,~
19,"Push button switch, generic, two pins",SW_Push,SW4,RESET,,1, ,~
20,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",AP2112K-3.3,U4,AP2112K-3.3,SOT-23-5,1, ,https://www.diodes.com/assets/Datasheets/AP2112.pdf
21,"ESP32-S2-MINI-1 and ESP32-S2-MINI-1U are two powerful, generic Wi-Fi MCU modules that have a rich set of peripherals. They are an ideal choice for a wide variety of application scenarios relating to Internet of Things (IoT), wearable electronics and smart home.",ESP32-S2-MINI-1,U3,ESP32-S2-MINI-1,ESP32-S2-MINI-1,1, ,https://www.espressif.com/sites/default/files/documentation/esp32-s2-mini-1_esp32-s2-mini-1u_datasheet_en.pdf
22,"Single cell, Li-Ion/Li-Po charge management controller, 4.35V, Tri-State Status Output, in SOT23-5 package",MCP73831-3-OT,U2,MCP73831-3-OT,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-55
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,22
Component Count:,27 (0 SMD/ 0 THT)
Fitted Components:,27 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,27
