Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1, ,~
2,"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x02_Odd_Even,J2,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical_SMD,1, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-41
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,2
Component Count:,2 (1 SMD/ 1 THT)
Fitted Components:,2 (1 SMD/ 1 THT)
Number of PCBs:,1
Total Components:,2
