Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X476MIL,JP2,HEADER-1X476MIL,1X04_ROUND_76,1, ,
2,,MOSFET-PWIDE,Q1,DMG3415U,SOT23-WIDE,1, ,
3,,RESISTOR0805_NOOUTLINE,R1,82Ω 1%,0805-NO,1, ,
4,,RESISTOR0805_NOOUTLINE,R2 R3,10K,0805-NO,2, ,
5,,MICS-5524,U1,MiCS-5524,MICS-5524,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
