Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,CAP_CERAMIC0805-NOOUTLINE,0805-NO,2, ,
2,,FLOPPY_FPC,FDD2,FLOPPY_FPC,FPC_26P_1MM,1, ,
3,,FLOPPY_IDC_SHROUDED,FDD1,FLOPPY_IDC_SHROUDED,2X17_FLOPPY_IDC,1, ,
4,,PINHD-1X4/90,JP2,Power,1X04_90,1, ,
5,,PINHD-1X16,JP3,breadboard,1X16,1, ,
6,,RESISTOR_4PACK,R1 R2 R3,2.2K,RESPACK_4X0603,3, ,
7,,RESISTOR_0603_NOOUT,R4,2.2K,0603-NO,1, ,
8,,74LCX245,U1 U2,74LCX245,TSSOP20,2, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,8
Component Count:,12 (0 SMD/ 0 THT)
Fitted Components:,12 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,12
