Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Light emitting diode,LED,D1,LED,LED_D10.0mm,1, ,~
2,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J4,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,1, ,~
3,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Male,J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Horizontal,1, ,~
4,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Male,J2 J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,2, ,~
5,"5A Ic, 60V Vce, Silicon Darlington Power NPN Transistor, TO-220",TIP120,Q1,TIP120,TO-220-3_Vertical,1, ,https://www.onsemi.com/pub/Collateral/TIP120-D.PDF
6,Resistor,R,R1 R3,R,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,2, ,~
7,Photoresistor,R_Photo,R2,R_Photo,R_LDR_10x8.5mm_P7.6mm_Vertical,1, ,~
8,Potentiometer,R_Potentiometer,RV1,R_Potentiometer,,1, ,~
9,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,SW_PUSH_6mm,1, ,~
10,"Push button switch, generic, two pins",SW_Push,SW2,SW_Push,SW_PUSH-12mm,1, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-59
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,10
Component Count:,12 (0 SMD/ 11 THT)
Fitted Components:,12 (0 SMD/ 11 THT)
Number of PCBs:,1
Total Components:,12
