Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
2,,M08NO_SILK,JP3 JP4 JP5 JP6 JP7 JP8 JP9 JP10 JP11 JP12 JP13 JP14 JP15 JP16 JP17,M08NO_SILK,1X08_NO_SILK,15, ,
3,,M031X03_NO_SILK,JP18 JP19,Power,1X03_NO_SILK,2, ,
4,,M031X03_NO_SILK,JP1 JP2,Raw,1X03_NO_SILK,2, ,
5,,STAND-OFF,JP20 JP21,STAND-OFF,STAND-OFF,2, ,
6,,OSHW-LOGOS,LOGO2,OSHW-LOGOS,OSHW-LOGO-S,1, ,
7,,SFE_LOGO_FLAME.1_INCH,LOGO1,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME_.1,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-10
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,24 (0 SMD/ 0 THT)
Fitted Components:,24 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,24
