Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C6,0.22uF,0805-NO,1, ,
2,,CAP_CERAMIC0805_10MGAP,C2,10µF,0805_10MGAP,1, ,
3,,CAP_CERAMIC0805-NOOUTLINE,C7,10uF,0805-NO,1, ,
4,,SEWTAP0.5IN,GND0 SCL1 SCL2 SDA1 SDA2 VCC0,SEWTAP0.5IN,SEWINGTAP_0.5,6, ,
5,,RESISTOR_4PACK_US,R1,10K,RESPACK_4X0603,1, ,
6,,LSM9DS0,U2,LSM9DS0TR,LGA24_4X4MM,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,11 (0 SMD/ 0 THT)
Fitted Components:,11 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,11
