Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C1,1uF,0603-NO,1, ,
2,,DIODESOD-323,D1,1N4148,SOD-323,1, ,
3,,HEADER-1X2ROUND,JP2 JP4,HEADER-1X2ROUND,1X02_ROUND,2, ,
4,,HEADER-1X570MIL,JP1 JP3,HEADER-1X570MIL,1X05_ROUND_70,2, ,
5,,WS2812B_SK6812E,LED1,WS2812B_SK6812E,NEO3535_REVERSE,1, ,
6,,SWITCH_PUSHBUTTON_KAILH_SOCKET,SW1,SWITCH_PUSHBUTTON_KAILH_SOCKET,KAILH_SOCKET,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
