Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X1176MIL,JP1 JP2,HEADER-1X1176MIL,1X11_ROUND_76,2, ,
2,,HEADER-1X2,JP4,HEADER-1X2,1X02_OVAL,1, ,
3,,MICRO{colon}BIT_RA,MB1,MICRO{colon}BIT_RA,2X20_CARDEDGE_RA,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
