Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C1 C2 C3 C4 C5 C6 C18 C19 C20 C21 C22 C23,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,12, ,~
2,Polarized capacitor,C_Polarized,C8 C9 C10 C11 C12 C13 C14 C15 C16 C17,100u,CP_Radial_D10.0mm_P5.00mm,10, ,~
3,"Generic connector, single row, 01x02, script generated",Conn_01x02_Socket,J1 J2,Conn_01x02_Socket,1711725,2, ,~
4,"Inductor, small symbol",L_Small,L1 L2 L3 L4,L_Small,L_Toroid_Horizontal_25x22,4, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-58
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,28 (12 SMD/ 16 THT)
Fitted Components:,28 (12 SMD/ 16 THT)
Number of PCBs:,1
Total Components:,28
