Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0603_NO,C1,0.1uF,0603-NO,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C3 C4,10uF,0805-NO,2, ,
3,,HEADER-1X770MIL,JP2,HEADER-1X770MIL,1X07_ROUND_70,1, ,
4,,RESISTOR_0603_NOOUT,R1,10K,0603-NO,1, ,
5,,74HC4050DTSSOP,U3,74HC4050D,TSSOP16,1, ,
6,,VREG_SOT23-5,U4,AP2112K-3.3,SOT23-5,1, ,
7,,SMT_SDCARD_8PIN,U5,XTSD,LGA8_8X6,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
