Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Fuse,Fuse,F1,Fuse,Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin,1, ,~
2,Fuse,Fuse,F2,Fuse,Fuseholder_Blade_Mini_Keystone_3568,1, ,~
3,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J2,Conn_01x02,Amass_XT60PW-M_Kombifootprint,1, ,~
4,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x02,J1,Screw_Terminal_01x02,Amass_XT60PW-M_Kombifootprint,1, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-52
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,4 (0 SMD/ 4 THT)
Fitted Components:,4 (0 SMD/ 4 THT)
Number of PCBs:,1
Total Components:,4
