Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,SEWTAP-NOHOLE2,LIGHT1 LIGHT2 LIGHT3,SEWTAP-NOHOLE2,PETAL-NOHOLE-2SIDE,3, ,
2,,SEWTAP6,LIGHT+0 LIGHT-0 LIGHTS0,SEWTAP6,PETAL-SMALL-2SIDE,3, ,
3,,RESISTOR0402,R1,10K,C0402,1, ,
4,,TEMT6000,U1,TEMT6000,TEMT6000-SEN,1, ,
5,,LOGO-LPLP,U$2,LOGO-LPLP,LOGO-LILYPAD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,9 (0 SMD/ 0 THT)
Fitted Components:,9 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,9
