Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,C-USC0805K,C1,0.1uF,C0805K,1, ,
2,,SEWTAP0.5IN,GND0 SCL1 SCL2 SDA1 SDA2 VCC0,SEWTAP0.5IN,SEWINGTAP_0.5,6, ,
3,,RESISTOR_0805,R2 R3,10K,_0805,2, ,
4,,SJ2W,SJ1,SJ2W,SJ_2,1, ,
5,,TSL2561,U2,TSL2561,TSL2561_FN,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,11 (0 SMD/ 0 THT)
Fitted Components:,11 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,11
