Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1,1uF,0805-NO,1, ,
2,,LED0805_NOOUTLINE,D2,GREEN,CHIPLED_0805_NOOUTLINE,1, ,
3,,HEADER-1X3,JP1,"0.1"" Header",1X03_OVAL,1, ,
4,,RESISTOR_0603_NOOUT,R3,1K,0603-NO,1, ,
5,,CON_JST_PH_3PIN,X4,JST PH 3,JSTPH3,1, ,
6,,TMP235_DCKR,X1,TMP235_DCKR,SC70-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
