Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805,C2,10uF,0805,1, ,
2,,FERRITE0805,FB1,Ferrite,0805,1, ,
3,,SEWTAP-2.0IN,GND0 GND1 RX0 TX0 UNK3V3IN0,SEWTAP-2.0IN,SEWINGTAP_2.0,5, ,
4,,LED0805,LED1,FIX,CHIPLED_0805,1, ,
5,,RESISTOR0805,R1,1K,0805,1, ,
6,,GPS_FGPMMOPA6H,U1,FGPMMOPA6H,FGPMMOPA6H,1, ,
7,,U.FL,U$20,U.FL,U.FL,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,11 (0 SMD/ 0 THT)
Fitted Components:,11 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,11
