Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CP_Small,C1,47uF,CP_Elec_5x5.8,1, ,~
2,"RGB LED, red/green/blue/anode",LED_RGBA,D1 D2 D3,LED_RGBA,LED_RGB_PLCC4,3, ,~
3,"Switch, single pole double throw, center OFF position",SW_SPDT_MSM,DELAY_MODE1 FILTER_MODE1 WIDTH_MODE1,SW_SPDT_MSM,SPDT_SubMiniature_Aligned,3, ,~
4,,R_POT,Delay_Pot_L1 Delay_Pot_R1 Feedback_Pot1 Mix_Pot1 Tone_Pot1,B10k,Alpha_9mm_Potentiometer_Aligned,5, ,~
5,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J5,Audio_In_L,THONKICONN_hole,1, ,~
6,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J11,Audio_In_R,THONKICONN_hole,1, ,~
7,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J13,Audio_Out_L,THONKICONN_hole,1, ,~
8,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J12,Audio_Out_R,THONKICONN_hole,1, ,~
9,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J9,Clock,THONKICONN_hole,1, ,~
10,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08_Female,J1 J2 J3 J4,Conn_01x08_Female,Socket_Strip_Straight_1x08_Pitch2.54mm,4, ,~
11,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J6,Delay_CV_L,THONKICONN_hole,1, ,~
12,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J8,Delay_CV_R,THONKICONN_hole,1, ,~
13,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J10,Feedback_CV,THONKICONN_hole,1, ,~
14,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J14,Filter,THONKICONN_hole,1, ,~
15,"Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",AudioJack2_Ground_Switch,J7,Mix_CV,THONKICONN_hole,1, ,~
16,"Push button switch, generic, two pins",SW_Push,LOCK1 RESET1,SW_Push,SW_PUSH_6mm_aligned,2, ,~
17,"Resistor, small symbol",R_Small,R1 R2 R3,10k,R_0603_HandSoldering,3, ,~
18,Toshiba 9 Channel LED Driver,TB62781FNG,U1,TB62781FNG,SSOP-20_4.4x6.5mm_Pitch0.65mm,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-51
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,18
Component Count:,32 (9 SMD/ 6 THT)
Fitted Components:,32 (9 SMD/ 6 THT)
Number of PCBs:,1
Total Components:,32
