Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0603-CAP,C2,47nF,0603-CAP,1, ,
2,,CAP0603-CAP,C1,1uF,0603-CAP,1, ,
3,,M03PTH,JP1,M03PTH,1X03,1, ,
4,,RESISTOR0603-RES,R1,100,0603-RES,1, ,
5,,RESISTOR0603-RES,R2,2.2k,0603-RES,1, ,
6,,IRRECEIVERSMD,U1,IRRECEIVERSMD,TSOP8523,1, ,
7,,LOGO-SFESK,U$1,LOGO-SFESK,SFE-LOGO-FLAME,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
