Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,BATTERYCR1220_SMT,B1,CR1220,CR1220,1, ,
2,,CAP_CERAMIC0805-NOOUTLINE,C1,10uF,0805-NO,1, ,
3,,DS3231/SO,IC2,DS3231/SO,SO16W,1, ,
4,,HEADER-1X2ROUND,JP1,HEADER-1X2ROUND,1X02_ROUND,1, ,
5,,RASPBERRYPI_2X3,RPI1,RASPBERRYPI_2X3,RASPBERRYPI_2X3_THMSMT,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,5 (0 SMD/ 0 THT)
Fitted Components:,5 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,5
