Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,MP,Package,Availability,MF,#manf
1,,ANT-RESCUE-ArduinoShieldLoRa,A1,ANT,SMA_EDGELAUNCH_UFL,1, ,,,,,,
2,Unpolarized capacitor,C,C2,0.1uF,C_0805_HandSoldering,1, ,~,,,,,0201ZD104KAT2A
3,Unpolarized capacitor,C,C1 C3,10uF,C_0805_HandSoldering,2, ,~,,,,,GRM188C80G106KE47J
4,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x01,J3,CONN_01X01,SolderWirePad_single_0-8mmDrill,1, ,~,,,,,
5,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J1 J2 J4 J5 J6,DIO1,Pin_Header_Straight_1x02_Pitch2.54mm,5, ,~,,,,,
6,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06,P2,Analog,Socket_Strip_Arduino_1x06,1, ,~,,,,,
7,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x01,P5 P6 P7 P8,CONN_01X01,Arduino_1pin,4, ,~,,,,,
8,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x10,P3,Digital,Socket_Strip_Arduino_1x10,1, ,~,,,,,
9,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08,P1 P4,Power,Socket_Strip_Arduino_1x08,2, ,~,,,,,
10,Resistor,R,R1 R2 R3,100K,R_0805_HandSoldering,3, ,~,,,,,RCA0603100KJNEC
11,Hex high-to-low level shifter 74HC4050D,74HC4050D,U2,74HC4050D,SO16,1, ,0.45 USD,74HC4050D,SOIC-16 NXP Semiconductors,Good,NXP Semiconductors,"74HC4050D,653"
12,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",AP2112K-3.3,U3,AP2112K-3.3,SOT-23-5,1, ,https://www.diodes.com/assets/Datasheets/AP2112.pdf,,,,,AP2112K-3.3TRG1
13,,RFM95-RESCUE-ArduinoShieldLoRa,U1,RFM95,RFM95W,1, ,,,,,,





Project info:
Schematic:,working
Variant:,default
Revision:,v1.0
Date:,2018-07-24
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,13
Component Count:,24 (8 SMD/ 16 THT)
Fitted Components:,24 (8 SMD/ 16 THT)
Number of PCBs:,1
Total Components:,24
