Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402-CAP,C1,1uF,0402-CAP,1, ,
2,,CAP_POL1206,C2,10uF,EIA3216,1, ,
3,,LOGO-SFESK,JP4,LOGO-SFESK,SFE-LOGO-FLAME,1, ,
4,,M06SIP,JP1,M06SIP,1X06,1, ,
5,,STAND-OFF,JP2 JP3,STAND-OFF,STAND-OFF,2, ,
6,,GP-2106,U1,GP-2106,GP-2106,1, ,
7,,OSHW-LOGOS,U$1,OSHW-LOGOS,OSHW-LOGO-S,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-03
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
