Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CR1220THM,BAT0,CR1220,CR1220-THM,1, ,
2,,C-US025-025X050,C1,0.1uF,C025-025X050,1, ,
3,,DS1307,IC3,DS1307,DIL08,1, ,
4,,PINHD-1X5,JP2,PINHD-1X5,1X05,1, ,
5,,CRYTALTC38H,Q1,32.768,TC38H,1, ,
6,,R-US_0207/10,R1 R2,2.2k,0207_10,2, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,7 (0 SMD/ 0 THT)
Fitted Components:,7 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,7
