Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C2 C3,10µF,0805-NO,2, ,
2,,TERMBLOCK_1X2,J1,VMOTORIN,TERMBLOCK_1X2-3.5MM,1, ,
3,,HEADER-1X10THICKER,JP1,HEADER-1X10THICKER,1X10_ROUND_76,1, ,
4,,PINHD-1X6CB,JP3,PINHD-1X6CB,1X06-CLEANBIG,1, ,
5,,MOSFET-PWIDE,Q1,DMG3415,SOT23-WIDE,1, ,
6,,RESISTOR0805_NOOUTLINE,R1,10K,0805-NO,1, ,
7,,TB6612FNGSSOP,U1,TB6612 SSOP,SSOP24,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,7
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
