Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,10uF,0805-NO,2, ,
2,,DIODESOD-323,D1 D2 D3,1N4148,SOD-323,3, ,
3,,HEADER-1X770MIL,JP2,HEADER-1X770MIL,1X07_ROUND_70,1, ,
4,,RESISTOR0805_NOOUTLINE,R1 R4,10K,0805-NO,2, ,
5,,BMP183,U3,BMP183,BMP18X_EXTENDED,1, ,
6,,VREG_SOT23-5,U2,MIC5225-3.3,SOT23-5,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,10 (0 SMD/ 0 THT)
Fitted Components:,10 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,10
