Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,LOGO-SFENEW,JP1,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,
2,,SWITCH-MOMENTARY-212MM,S1 S2 S3 S4,SWITCH-MOMENTARY-212MM,TACTILE-PTH-12MM,4, ,
3,,SWITCH-MOMENTARY-2PTH,S6,SWITCH-MOMENTARY-2PTH,TACTILE-PTH,1, ,
4,,ARDUINO_SHIELDLABEL,U1,ARDUINO_SHIELDLABEL,DUEMILANOVE_SHIELD,1, ,
5,,JOYSTICKPTH,U2,JOYSTICKPTH,JOYSTICK,1, ,
6,,CREATIVE_COMMONS,U$3,CREATIVE_COMMONS,CREATIVE_COMMONS,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-04
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,9 (0 SMD/ 0 THT)
Fitted Components:,9 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,9
