Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,M03PTH,JP1,M03PTH,1X03,1, ,
2,,RESISTORPTH1,R1,220,AXIAL-0.3,1, ,
3,,GP1A57HR,U1,GP1A57HR,GP1A57HR,1, ,
4,,LOGO-SFESK,U2,LOGO-SFESK,SFE-LOGO-FLAME,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-12
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
