Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,1uF,0805-NO,2, ,
2,,HEADER-1X576MIL_FULL,JP1,HEADER-1X576MIL_FULL,1X05_ROUND_FULL_76,1, ,
3,,RESISTOR0805_NOOUTLINE,R1 R2,10K,0805-NO,2, ,
4,,DRV2605_SOP,U1,DRV2605LDGS,PSOP10,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,4
Component Count:,6 (0 SMD/ 0 THT)
Fitted Components:,6 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,6
