Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,TPTP20R,CI0 CO0 DI0 DO0 G1 G2 G3 V1 V2 V3,TPTP20R,TP20R,10, ,
2,,APA1022020,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48 LED49 LED50 LED51 LED52 LED53 LED54 LED55 LED56 LED57 LED58 LED59 LED60 LED61 LED62 LED63 LED64,APA1022020,APA102_2020,64, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,2
Component Count:,74 (0 SMD/ 0 THT)
Fitted Components:,74 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,74
