Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1,10µF,0805-NO,1, ,
2,,HEADER-1X25,CONN1,HEADER-1X25,1X25_ROUND_70MIL,1, ,
3,,HEADER-1X11,JP1 JP2 JP3 JP4,HEADER-1X11,1X11_ROUND,4, ,
4,,HEADER-1X376MIL,JP5 JP6 JP7,HEADER-1X376MIL,1X03_ROUND_76,3, ,
5,,HEADER-1X4ROUND,JP8 JP9 JP10,HEADER-1X4ROUND,1X04_ROUND,3, ,
6,,RESISTOR0805_NOOUTLINE,R4,10K,0805-NO,1, ,
7,,RASPBERRYPI_BPLUS_PHAT,RPI1,RASPBERRYPI_BPLUS_PHAT,PI_BONNET,1, ,
8,,ADC_ADS1015,U1,ADS1015IDGST,MSOP10,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-32
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,8
Component Count:,15 (0 SMD/ 0 THT)
Fitted Components:,15 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,15
