Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2,10uF,0805-NO,2, ,
2,,HEADER-1X770MIL,JP1,HEADER-1X770MIL,1X07_ROUND_70,1, ,
3,,MOSFET-NWIDE,Q1 Q2,BSS138,SOT23-WIDE,2, ,
4,,RESISTOR0805_NOOUTLINE,R1 R2 R3 R4 R5,10K,0805-NO,5, ,
5,,VREG_SOT23-5,U2,MIC5225-3.3,SOT23-5,1, ,
6,,SI114X,U1,SI1145,SI114X,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,12 (0 SMD/ 0 THT)
Fitted Components:,12 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,12
