Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x15,J1 J2,Conn_01x15,PinSocket_1x15_P2.54mm_Vertical_without_silk,2, ,~
2,"Generic connector, double row, 02x15, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x15_Odd_Even,J3,Conn_02x15_Odd_Even,PinHeader_2x15_P2.54mm_M5Stack_SpacerPCB_pads,1, ,~
3,"Generic connector, double row, 02x15, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x15_Odd_Even,J4,Conn_02x15_Odd_Even,PinSocket_2x15_P2.54mm_Vertical_SMD_just_for_M5Stack_bottom,1, ,~





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-42
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,3
Component Count:,4 (0 SMD/ 0 THT)
Fitted Components:,4 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,4
